text,ats_score,grammar_score,readability_score,overall_score
This is dummy resume feedback #1,10.62,7.78,8.93,9.11
This is dummy resume feedback #2,19.26,13.13,8.7,13.7
This is dummy resume feedback #3,15.98,18.09,18.59,17.55
This is dummy resume feedback #4,13.98,15.98,8.74,12.9
This is dummy resume feedback #5,7.34,17.1,9.08,11.17
This is dummy resume feedback #6,7.34,14.88,16.39,12.87
This is dummy resume feedback #7,5.87,15.38,11.75,11.0
This is dummy resume feedback #8,17.99,17.74,16.65,17.46
This is dummy resume feedback #9,14.02,8.75,5.98,9.58
This is dummy resume feedback #10,15.62,12.34,12.31,13.42
This is dummy resume feedback #11,5.31,8.32,5.5,6.38
This is dummy resume feedback #12,19.55,19.82,5.94,15.1
This is dummy resume feedback #13,17.49,19.16,18.6,18.42
This is dummy resume feedback #14,8.19,5.59,7.09,6.96
This is dummy resume feedback #15,7.73,15.58,12.99,12.1
This is dummy resume feedback #16,7.75,18.88,11.17,12.6
This is dummy resume feedback #17,9.56,7.71,10.21,9.16
This is dummy resume feedback #18,12.87,13.52,18.5,14.96
This is dummy resume feedback #19,11.48,18.73,5.33,11.85
This is dummy resume feedback #20,9.37,5.51,14.96,9.95
This is dummy resume feedback #21,14.18,15.46,19.45,16.36
This is dummy resume feedback #22,7.09,9.46,13.4,9.98
This is dummy resume feedback #23,9.38,18.87,19.05,15.77
This is dummy resume feedback #24,10.5,19.57,5.78,11.95
This is dummy resume feedback #25,11.84,19.16,11.28,14.09
This is dummy resume feedback #26,16.78,12.11,8.9,12.6
This is dummy resume feedback #27,8.0,17.93,15.96,13.96
This is dummy resume feedback #28,12.71,17.67,19.72,16.7
This is dummy resume feedback #29,13.89,9.79,8.85,10.84
This is dummy resume feedback #30,5.7,17.43,14.81,12.65
This is dummy resume feedback #31,14.11,5.56,7.97,9.21
This is dummy resume feedback #32,7.56,13.94,13.48,11.66
This is dummy resume feedback #33,5.98,8.45,11.96,8.8
This is dummy resume feedback #34,19.23,6.81,19.58,15.21
This is dummy resume feedback #35,19.48,6.15,14.13,13.25
This is dummy resume feedback #36,17.13,15.44,10.24,14.27
This is dummy resume feedback #37,9.57,10.1,6.71,8.79
This is dummy resume feedback #38,6.47,15.87,7.27,9.87
This is dummy resume feedback #39,15.26,5.98,8.38,9.87
This is dummy resume feedback #40,11.6,9.73,8.76,10.03
This is dummy resume feedback #41,6.83,13.09,17.76,12.56
This is dummy resume feedback #42,12.43,16.86,13.42,14.24
This is dummy resume feedback #43,5.52,9.78,12.85,9.38
This is dummy resume feedback #44,18.64,14.39,6.72,13.25
This is dummy resume feedback #45,8.88,18.29,17.9,15.02
This is dummy resume feedback #46,14.94,14.24,15.84,15.01
This is dummy resume feedback #47,9.68,8.49,6.02,8.06
This is dummy resume feedback #48,12.8,5.37,15.62,11.26
This is dummy resume feedback #49,13.2,18.05,13.15,14.8
This is dummy resume feedback #50,7.77,5.32,6.23,6.44
This is dummy resume feedback #51,19.54,18.12,11.87,16.51
